StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,hospitality,control check,treatment check,variable matrix_1,variable matrix_2,variable matrix_3,variable matrix_4,variable matrix_5,barriers,barriers_5_TEXT,previous awareness,opening time,type,type_5_TEXT,employees,role,role_5_TEXT,voltage,treatment
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Do you currently own, manage, or work for a hospitality business (e.g., hotel, restaurant, café, bar) located in the Netherlands?",What do high-voltage lines mainly do?,Which of the following actions was suggested?,To what extent do you agree or disagree with the following statements? - I have a clear understanding of grid congestion and what it means for my business.,To what extent do you agree or disagree with the following statements? - I know how I could reduce my energy use during peak hours.,To what extent do you agree or disagree with the following statements? - It is feasible for my business to shift energy use away from peak hours.,"To what extent do you agree or disagree with the following statements? - To ensure you are reading carefully, please select 'Strongly Agree' for this row.",To what extent do you agree or disagree with the following statements? - I intend to shift our energy use away from peak hours.,"In your opinion, what would be the primary barrier to shifting your energy use away from peak hours? - Selected Choice","In your opinion, what would be the primary barrier to shifting your energy use away from peak hours? - Other (please specify): - Text",Were you aware of the incoming move towards peak-hour pricing before this survey?,What time of day is your business typically open? Select all that apply:,What type of hospitality business do you operate? - Selected Choice,What type of hospitality business do you operate? - Other (please specify): - Text,Approximately how many employees work at your organization?,What is your role in the organization? - Selected Choice,What is your role in the organization? - Other (please specify): - Text,Do you know which voltage level of the grid you are connected to?,treatment
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID24""}","{""ImportId"":""QID23""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_5_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_5_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""treatment""}"
2026-02-13 18:03:23,2026-02-13 18:06:29,0,2.139.81.194,100,186,1,2026-02-13 18:06:29,R_2llUQtYWwuR6orj,,,,,40.4235,-3.6463,anonymous,EN,1,2,,6,7,2,3,4,2,,2,2,4,,2,2,,2,0
2026-02-13 18:11:24,2026-02-13 18:16:27,0,79.148.93.104,100,303,1,2026-02-13 18:16:27,R_2Sbo5H5ul5iT2TL,,,,,40.4733,-3.7306,anonymous,EN,1,,2,5,6,2,7,3,1,,1,"2,3,4",2,,1,4,,4,1
2026-02-13 18:21:10,2026-02-13 18:21:22,0,176.80.167.155,100,12,1,2026-02-13 18:21:23,R_8DYzZHhNMx1xxzH,,,,,41.4022,2.1407,anonymous,EN,0,,,,,,,,,,,,,,,,,,
2026-02-13 18:21:28,2026-02-13 18:23:36,0,176.80.167.155,100,128,1,2026-02-13 18:23:36,R_8rmWWrroK9rbw9H,,,,,41.4022,2.1407,anonymous,EN,1,2,,6,6,1,7,3,1,,2,"1,2,3,4",4,,3,4,,4,0
2026-02-13 18:26:41,2026-02-13 18:27:35,0,181.115.60.140,100,54,1,2026-02-13 18:27:36,R_1mnkR6fsEuLJA5h,,,,,14.0828,-87.2041,anonymous,EN,0,,,,,,,,,,,,,,,,,,
2026-02-13 18:28:02,2026-02-13 18:29:55,0,181.115.60.140,100,113,1,2026-02-13 18:29:55,R_32rjQ4tF5VJJX3P,,,,,14.0828,-87.2041,anonymous,EN,1,,1,5,4,5,5,5,3,,2,"1,2,3",3,,3,2,,2,1
2026-02-13 18:40:59,2026-02-13 18:43:38,0,90.166.98.168,100,159,1,2026-02-13 18:43:38,R_8JjKUtfVGxhPhF7,,,,,28.1,-15.4098,anonymous,EN,0,,,,,,,,,,,,,,,,,,
2026-02-13 18:55:04,2026-02-13 18:56:17,0,80.35.204.51,100,72,1,2026-02-13 18:56:17,R_2Rvq8OpabA5W2MF,,,,,40.1842,-4.0368,anonymous,EN,0,,,,,,,,,,,,,,,,,,
